Canal_1,Canal_2,Canal_3,Canal_4,Canal_5,Canal_6,Canal_7,Canal_8,Tiempo
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68224.81074628959,9684.92146550673,134.33398417639543,-41168.60522849622,-23066.217966820954,-60341.93162225862,-26952.5604787541,79791.63733621089,0.004
68238.78058657415,9708.614314629354,112.71984728811351,-41184.922001948595,-23083.920548429556,-60354.91798578716,-26964.183385870863,79772.77246389061,0.008
68220.85448752099,9698.220753457637,118.0395624684766,-41182.284496102875,-23080.52308327235,-60352.63810785271,-26961.322362580584,79774.27003076911,0.012
68213.83603976203,9682.686291061198,128.58958585138154,-41174.506089032424,-23072.007068634877,-60343.7421135595,-26950.52647000867,79781.333182017,0.016
68220.0498247206,9682.149849194271,146.15805699325287,-41154.456574256015,-23054.393894004097,-60329.05701745237,-26933.159164566896,79800.06394387054,0.02
68237.17126097337,9706.915582050751,134.28928068748482,-41163.687844716056,-23066.732056943423,-60342.91509901466,-26946.056121117606,79790.09506584347,0.024
68231.78449055964,9710.78243384152,122.26404217052963,-41175.53426927737,-23080.388972805617,-60354.627413109236,-26957.366103811994,79775.14174880288,0.028
68229.102281225,9697.751366824075,100.42638783769463,-41196.81312999882,-23103.031289938845,-60372.82173309586,-26976.700362765834,79752.29826596956,0.032
68226.50947886819,9688.989482997595,93.56440228991536,-41199.18241491108,-23107.9039702301,-60367.99375629351,-26973.10173190853,79751.828879336,0.036
68235.38312141695,9703.942800038196,108.71888503061355,-41181.502185046935,-23090.71547874397,-60348.972421762046,-26955.130929366464,79771.4313592233,0.04
68218.88753400893,9692.5881138549,142.3582604358507,-41149.7627079204,-23058.50661498387,-60326.732436029015,-26931.81805989958,79803.34965030548,0.044
68200.82732448904,9662.860293729342,165.69348164719125,-41130.74137338893,-23035.372559472627,-60317.12118591323,-26922.430327228347,79824.42734532683,0.048
68206.92935072535,9661.38507859529,161.4019467117723,-41133.84826586822,-23039.820556619234,-60325.10075868377,-26927.347711008515,79823.35446159297,0.052
68233.79614756061,9697.773718568531,151.2542547290629,-41138.586835692746,-23049.811786390757,-60333.572069832335,-26936.89190589093,79818.593540024,0.056
68221.18976368783,9698.15369822427,149.26494947254056,-41137.17867579206,-23051.577574202725,-60336.455444867075,-26940.267019303683,79819.28644410211,0.06
68204.78358325762,9676.494857847078,147.65562387175845,-41141.33610026075,-23054.438597493005,-60343.49624437049,-26949.65475197491,79815.73251673371,0.064
68207.95753097028,9670.39283161078,127.51670211752679,-41159.39630978064,-23072.454103523985,-60354.38154392023,-26964.943345182342,79801.02506888213,0.068
68221.72620555475,9686.955474252161,114.84326301136768,-41166.705330217526,-23081.551263517293,-60355.65559335418,-26969.39134232895,79795.92887114632,0.072
68222.88849626643,9695.113860978348,133.68578358719154,-41147.23696079695,-23062.731094685925,-60337.1930524341,-26952.51577526519,79815.12901963342,0.076
68214.79716477361,9685.435555629201,118.30778340194028,-41165.47598427248,-23080.65719373908,-60358.404857922185,-26975.023981931685,79792.95608913376,0.08
68209.94683622681,9671.44336360018,121.43702762568327,-41163.330216804774,-23077.66205998207,-60355.879110798734,-26966.977353927774,79794.92304264582,0.084
68225.48129862324,9692.163430710249,103.01919019451026,-41177.925905934084,-23093.91177820108,-60368.731363860534,-26978.756723255723,79780.75203666116,0.088
68233.37146441596,9712.190593742203,98.70530351463599,-41179.64699025715,-23096.973967191454,-60369.98306155003,-26980.500159323237,79779.58974594949,0.092
